occ_code,state,median_annual,employment
11-1011,Alabama,165320,720
11-1011,Alaska,156610,920
11-1011,Arkansas,126010,2190
11-1011,California,231080,38920
11-1011,Colorado,179900,620
11-1011,Connecticut,239200,900
11-1011,Delaware,168280,350
11-1011,District of Columbia,206690,1350
11-1011,Florida,197060,18840
11-1011,Georgia,212560,6620
11-1011,Hawaii,223900,560
11-1011,Idaho,218220,
11-1011,Illinois,239200,6240
11-1011,Indiana,207610,1270
11-1011,Iowa,136650,3120
11-1011,Kansas,148910,2840
11-1011,Kentucky,171990,2860
11-1011,Louisiana,158180,390
11-1011,Maine,119410,1550
11-1011,Maryland,239200,5100
11-1011,Michigan,239200,3780
11-1011,Minnesota,192230,6680
11-1011,Mississippi,122740,580
11-1011,Missouri,141550,
11-1011,Montana,172240,470
11-1011,Nebraska,194080,2880
11-1011,Nevada,239200,
11-1011,New Hampshire,129010,560
11-1011,New Jersey,239200,1090
11-1011,New York,212960,7630
11-1011,North Carolina,239200,1720
11-1011,Ohio,175930,5360
11-1011,Oklahoma,128230,2740
11-1011,Oregon,239200,810
11-1011,Pennsylvania,200560,
11-1011,Rhode Island,239200,
11-1011,South Carolina,186800,3020
11-1011,South Dakota,239200,550
11-1011,Tennessee,171940,5810
11-1011,Texas,239200,6970
11-1011,Utah,161140,3230
11-1011,Vermont,157370,710
11-1011,Virginia,239200,5920
11-1011,Washington,239200,4030
11-1011,West Virginia,172090,1560
11-1011,Wisconsin,206810,3920
11-1011,Wyoming,135940,100
11-1021,Alabama,103320,34450
11-1021,Alaska,104720,6150
11-1021,Arizona,85070,94010
11-1021,Arkansas,63970,34660
11-1021,California,122140,273630
11-1021,Colorado,126030,44710
11-1021,Connecticut,123810,48760
11-1021,Delaware,136440,4750
11-1021,District of Columbia,162990,34580
11-1021,Florida,99420,203090
11-1021,Georgia,97720,104480
11-1021,Hawaii,105000,12570
11-1021,Idaho,70490,32470
11-1021,Illinois,101250,182840
11-1021,Indiana,103050,49470
11-1021,Iowa,78610,35510
11-1021,Kansas,85690,24510
11-1021,Kentucky,78890,50500
11-1021,Louisiana,101500,43130
11-1021,Maine,93390,14740
11-1021,Maryland,102420,90520
11-1021,Massachusetts,120680,111380
11-1021,Michigan,97140,88500
11-1021,Minnesota,94990,76670
11-1021,Mississippi,77120,18790
11-1021,Missouri,77030,95120
11-1021,Montana,84990,11120
11-1021,Nebraska,80380,22390
11-1021,Nevada,90320,42450
11-1021,New Hampshire,103990,19570
11-1021,New Jersey,148370,64680
11-1021,New Mexico,98990,17200
11-1021,New York,126330,212770
11-1021,North Carolina,104570,71340
11-1021,North Dakota,87580,10780
11-1021,Ohio,93880,143080
11-1021,Oklahoma,81060,41540
11-1021,Oregon,90720,47740
11-1021,Pennsylvania,99140,145770
11-1021,Rhode Island,122240,7710
11-1021,South Carolina,90310,43390
11-1021,South Dakota,130610,4180
11-1021,Tennessee,97740,70580
11-1021,Texas,96050,448530
11-1021,Utah,83350,56000
11-1021,Vermont,84090,8060
11-1021,Virginia,121050,92650
11-1021,Washington,123330,59230
11-1021,West Virginia,75890,14950
11-1021,Wisconsin,117070,35130
11-1021,Wyoming,88580,6970
11-2021,Alabama,113460,1490
11-2021,Alaska,105080,160
11-2021,Arizona,145290,
11-2021,Arkansas,118290,1360
11-2021,California,174480,59830
11-2021,Colorado,169220,5970
11-2021,Connecticut,162690,7080
11-2021,Delaware,173110,1090
11-2021,District of Columbia,156750,3330
11-2021,Florida,138340,17420
11-2021,Georgia,156680,9930
11-2021,Hawaii,126110,330
11-2021,Idaho,108820,1260
11-2021,Illinois,149430,24910
11-2021,Indiana,123590,3380
11-2021,Iowa,132870,2390
11-2021,Kansas,130590,1360
11-2021,Kentucky,115390,2460
11-2021,Louisiana,107370,940
11-2021,Maryland,137560,6060
11-2021,Massachusetts,169990,13510
11-2021,Michigan,134200,6090
11-2021,Minnesota,164200,8570
11-2021,Mississippi,87440,920
11-2021,Missouri,110420,4040
11-2021,Montana,130690,380
11-2021,Nebraska,105900,2210
11-2021,Nevada,97560,3800
11-2021,New Hampshire,150670,1340
11-2021,New Jersey,173460,12260
11-2021,New Mexico,116290,460
11-2021,New York,173290,45000
11-2021,North Carolina,143800,10400
11-2021,North Dakota,124800,200
11-2021,Ohio,132000,8070
11-2021,Oklahoma,121730,1330
11-2021,Oregon,134130,5800
11-2021,Pennsylvania,131890,10400
11-2021,Rhode Island,165720,840
11-2021,South Carolina,105750,3530
11-2021,South Dakota,138450,100
11-2021,Tennessee,130310,7760
11-2021,Texas,135050,36900
11-2021,Utah,128760,6820
11-2021,Virginia,172320,7040
11-2021,Washington,162590,9450
11-2021,West Virginia,98590,250
11-2021,Wisconsin,129340,2550
11-2022,Alabama,117750,3650
11-2022,Alaska,93050,820
11-2022,Arizona,122880,12570
11-2022,Arkansas,121820,
11-2022,California,131740,113910
